Iteration,Epoch,Training Loss,Training Accuracy,Test Accuracy,Gradient Norm
380,12,0.018787025034427644,0.539,0.565,0.04551818569387443
381,12,0.018787025034427644,0.539,0.565,0.23138680169877288
382,12,0.018787025034427644,0.539,0.565,0.08832096106554511
383,12,0.018787025034427644,0.539,0.565,0.37754941337815057
384,13,0.015479830995202065,0.551,0.57,0.2233140719570396
385,13,0.015479830995202065,0.551,0.57,0.041750350838242425
386,13,0.015479830995202065,0.551,0.57,0.044308264476476934
387,13,0.015479830995202065,0.551,0.57,0.14503658015340853
388,13,0.015479830995202065,0.551,0.57,0.10691695242727031
389,13,0.015479830995202065,0.551,0.57,0.12329940844859286
390,13,0.015479830995202065,0.551,0.57,0.09106610905296192
391,13,0.015479830995202065,0.551,0.57,0.08927799104527824
392,13,0.015479830995202065,0.551,0.57,0.04390978181065147
393,13,0.015479830995202065,0.551,0.57,0.05805093375852225
394,13,0.015479830995202065,0.551,0.57,0.04294939628864175
395,13,0.015479830995202065,0.551,0.57,0.14388514812530587
396,13,0.015479830995202065,0.551,0.57,0.12084071605373797
397,13,0.015479830995202065,0.551,0.57,0.1164088762578363
398,13,0.015479830995202065,0.551,0.57,0.16156911279924058
399,13,0.015479830995202065,0.551,0.57,0.02875418923539374
400,13,0.015479830995202065,0.551,0.57,0.11599715615427966
401,13,0.015479830995202065,0.551,0.57,0.09130213763856233
402,13,0.015479830995202065,0.551,0.57,0.06347227816457635
403,13,0.015479830995202065,0.551,0.57,0.060588100598925915
404,13,0.015479830995202065,0.551,0.57,0.10144274394978436
405,13,0.015479830995202065,0.551,0.57,0.16123380680890478
406,13,0.015479830995202065,0.551,0.57,0.04853951036622136
407,13,0.015479830995202065,0.551,0.57,0.12269689067848229
408,13,0.015479830995202065,0.551,0.57,0.0580893492955945
409,13,0.015479830995202065,0.551,0.57,0.067353488326215
410,13,0.015479830995202065,0.551,0.57,0.05857860391116131
411,13,0.015479830995202065,0.551,0.57,0.055018672601166795
412,13,0.015479830995202065,0.551,0.57,0.09529705724357919
413,13,0.015479830995202065,0.551,0.57,0.1067297748282582
414,13,0.015479830995202065,0.551,0.57,0.1314989758873202
415,13,0.015479830995202065,0.551,0.57,0.1645446443002178
416,14,0.012628401905298233,0.574,0.61,0.08674003750298301
417,14,0.012628401905298233,0.574,0.61,0.06616821839159655
418,14,0.012628401905298233,0.574,0.61,0.0660576784843718
419,14,0.012628401905298233,0.574,0.61,0.04605052966229916
420,14,0.012628401905298233,0.574,0.61,0.13465951100934379
421,14,0.012628401905298233,0.574,0.61,0.054110280107981794
422,14,0.012628401905298233,0.574,0.61,0.0847934687321632
423,14,0.012628401905298233,0.574,0.61,0.0532660775641718
424,14,0.012628401905298233,0.574,0.61,0.03431235488962499
425,14,0.012628401905298233,0.574,0.61,0.04631066805066128
426,14,0.012628401905298233,0.574,0.61,0.11163764039121761
427,14,0.012628401905298233,0.574,0.61,0.07284662425224077
428,14,0.012628401905298233,0.574,0.61,0.08930599397942662
429,14,0.012628401905298233,0.574,0.61,0.13560846429671403
430,14,0.012628401905298233,0.574,0.61,0.04402765025061355
431,14,0.012628401905298233,0.574,0.61,0.051343186500515836
432,14,0.012628401905298233,0.574,0.61,0.10312549276130928
433,14,0.012628401905298233,0.574,0.61,0.041420565824675314
434,14,0.012628401905298233,0.574,0.61,0.05790353906404564
435,14,0.012628401905298233,0.574,0.61,0.11981043907578157
436,14,0.012628401905298233,0.574,0.61,0.062215667868092246
437,14,0.012628401905298233,0.574,0.61,0.059857593356172085
438,14,0.012628401905298233,0.574,0.61,0.040571189815357636
439,14,0.012628401905298233,0.574,0.61,0.07763450826193267
440,14,0.012628401905298233,0.574,0.61,0.050032800188433965
441,14,0.012628401905298233,0.574,0.61,0.05621490589638916
442,14,0.012628401905298233,0.574,0.61,0.0777899575889349
443,14,0.012628401905298233,0.574,0.61,0.16464343603293818
444,14,0.012628401905298233,0.574,0.61,0.08029824686357463
445,14,0.012628401905298233,0.574,0.61,0.030844625210180467
446,14,0.012628401905298233,0.574,0.61,0.13359633904614146
447,14,0.012628401905298233,0.574,0.61,0.18424394783817444
448,15,0.010439371600747108,0.607,0.635,0.04524075204222814
449,15,0.010439371600747108,0.607,0.635,0.03673845787205266
450,15,0.010439371600747108,0.607,0.635,0.08958443304985572
451,15,0.010439371600747108,0.607,0.635,0.09081809550285043
452,15,0.010439371600747108,0.607,0.635,0.048841022536138104
453,15,0.010439371600747108,0.607,0.635,0.07241214863731259
454,15,0.010439371600747108,0.607,0.635,0.04416635417438075
455,15,0.010439371600747108,0.607,0.635,0.09719752722152163
456,15,0.010439371600747108,0.607,0.635,0.03616023293952957
